timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604261427685,239,home,200,OK,Thread Group 1-1,text,true,,320839,8552,1,1,http://localhost/blog/,25,0,1
1604261427685,25,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,25,0,1
1604261427712,0,home-1,200,OK,Thread Group 1-1,text,true,,5349,391,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,0
1604261427712,212,home-2,200,OK,Thread Group 1-1,text,true,,10090,407,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",209,0,155
1604261427712,1,home-3,200,OK,Thread Group 1-1,text,true,,25636,405,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,1,0,0
1604261427712,1,home-4,200,OK,Thread Group 1-1,bin,true,,3929,402,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,1,0,1
1604261427712,2,home-5,200,OK,Thread Group 1-1,text,true,,6323,411,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,2,0,1
1604261427712,1,home-6,200,OK,Thread Group 1-1,text,true,,2887,419,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,1,0,1
1604261427713,2,home-7,200,OK,Thread Group 1-1,text,true,,1421,381,1,1,http://localhost/blog/en-us.res.axd,2,0,0
1604261427713,1,home-8,200,OK,Thread Group 1-1,text,true,,92937,403,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,1,0,0
1604261427713,1,home-9,200,OK,Thread Group 1-1,text,true,,2532,400,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,1,0,0
1604261427714,0,home-10,200,OK,Thread Group 1-1,text,true,,10009,404,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1604261427714,0,home-11,200,OK,Thread Group 1-1,text,true,,3068,396,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1604261427714,1,home-12,200,OK,Thread Group 1-1,text,true,,24753,388,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1604261427714,1,home-13,200,OK,Thread Group 1-1,text,true,,30406,412,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,1,0,0
1604261427715,0,home-14,200,OK,Thread Group 1-1,text,true,,44438,411,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1604261427715,0,home-15,200,OK,Thread Group 1-1,text,true,,2730,417,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1604261427715,0,home-16,200,OK,Thread Group 1-1,text,true,,2141,408,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,0,0,0
1604261427715,2,home-17,200,OK,Thread Group 1-1,text,true,,23342,478,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,2,0,0
1604261427715,1,home-18,200,OK,Thread Group 1-1,bin,true,,839,401,1,1,http://localhost/blog/Content/images/blog/rssButton.png,1,0,0
1604261427716,132,home-19,200,OK,Thread Group 1-1,bin,true,,1475,425,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,132,0,69
1604261427716,132,home-20,200,OK,Thread Group 1-1,bin,true,,1738,425,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,132,0,69
1604261427939,183,home,200,OK,Thread Group 1-1,text,true,,39227,10051,1,1,http://localhost/blog/,46,0,0
1604261427939,46,home-0,200,OK,Thread Group 1-1,text,true,,24796,368,1,1,http://localhost/blog/,46,0,0
1604261427988,3,home-1,304,Not Modified,Thread Group 1-1,,true,,205,476,1,1,http://localhost/blog/Content/Auto/Global.css,0,0,2
1604261427988,63,home-2,200,OK,Thread Group 1-1,text,true,,10090,457,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",61,0,0
1604261427988,1,home-3,304,Not Modified,Thread Group 1-1,,true,,205,490,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,0,0,0
1604261427988,1,home-4,304,Not Modified,Thread Group 1-1,,true,,205,487,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604261427988,1,home-5,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,0,0,0
1604261427988,1,home-6,304,Not Modified,Thread Group 1-1,,true,,205,504,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,0,0,0
1604261427991,4,home-7,304,Not Modified,Thread Group 1-1,,true,,276,410,1,1,http://localhost/blog/en-us.res.axd,0,0,0
1604261427991,2,home-8,304,Not Modified,Thread Group 1-1,,true,,204,487,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,0,0,0
1604261427991,2,home-9,304,Not Modified,Thread Group 1-1,,true,,204,484,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,0,0,0
1604261427991,2,home-10,304,Not Modified,Thread Group 1-1,,true,,204,488,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,0,0,0
1604261427991,2,home-11,304,Not Modified,Thread Group 1-1,,true,,204,480,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,0,0,0
1604261427993,1,home-12,304,Not Modified,Thread Group 1-1,,true,,204,472,1,1,http://localhost/blog/Scripts/Auto/blog.js,0,0,0
1604261427993,1,home-13,304,Not Modified,Thread Group 1-1,,true,,205,497,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1604261427993,1,home-14,304,Not Modified,Thread Group 1-1,,true,,205,496,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
